Rank	Latitude	Longitude
1	12.98498	77.73646
2	12.98498	77.73651
3	12.98498	77.73564
4	12.98498	77.73558
5	12.98498	77.73552
6	12.98498	77.73546
7	12.98498	77.73541
8	12.98499	77.73640
9	12.98499	77.73656
10	12.98499	77.73634
11	12.98499	77.73437
12	12.98499	77.73431
13	12.98499	77.73628
14	12.98499	77.73593
15	12.98499	77.73587
16	12.98499	77.73581
17	12.98499	77.73575
18	12.98499	77.73569
19	12.98499	77.73535
20	12.98499	77.73443
21	12.98500	77.73732
22	12.98500	77.73727
23	12.98500	77.73721
24	12.98500	77.73623
25	12.98500	77.73617
26	12.98500	77.73611
27	12.98500	77.73605
28	12.98500	77.73599
29	12.98500	77.73530
30	12.98500	77.73524
31	12.98500	77.73426
32	12.98500	77.73420
33	12.98500	77.73785
34	12.98500	77.73518
35	12.98500	77.73779
36	12.98500	77.73662
37	12.98500	77.73466
38	12.98500	77.73461
39	12.98500	77.73790
40	12.98500	77.73738
41	12.98500	77.73512
42	12.98500	77.73506
43	12.98500	77.73500
44	12.98500	77.73495
45	12.98500	77.73489
46	12.98500	77.73449
47	12.98500	77.73415
48	12.98500	77.73409
49	12.98500	77.73404
50	12.98501	77.73773
51	12.98501	77.73692
52	12.98501	77.73685
53	12.98501	77.73680
54	12.98501	77.73674
55	12.98501	77.73668
56	12.98501	77.73455
57	12.98501	77.73397
58	12.98501	77.73391
59	12.98501	77.73472
60	12.98501	77.73767
61	12.98501	77.73762
62	12.98501	77.73756
63	12.98501	77.73751
64	12.98501	77.73745
65	12.98501	77.73714
66	12.98501	77.73385
67	12.98501	77.73709
68	12.98501	77.73703
69	12.98501	77.73698
70	12.98502	77.73483
71	12.98502	77.73478
72	12.98502	77.73795
73	12.98502	77.73380
74	12.98503	77.73802
75	12.98504	77.73808
76	12.98505	77.73813
77	12.98506	77.73824
78	12.98506	77.73819
79	12.98506	77.73830
80	12.98506	77.73841
81	12.98506	77.73835
82	12.98506	77.73373
83	12.98507	77.73852
84	12.98507	77.73847
85	12.98507	77.73858
86	12.98508	77.73864
87	12.98510	77.73870
88	12.98510	77.73875
89	12.98512	77.73373
90	12.98516	77.73876
91	12.98518	77.73373
92	12.98522	77.73875
93	12.98523	77.73373
94	12.98528	77.73875
95	12.98529	77.73373
96	12.98534	77.73876
97	12.98535	77.73372
98	12.98540	77.73372
99	12.98540	77.73876
100	12.98545	77.73876
101	12.98546	77.73371
102	12.98551	77.73371
103	12.98552	77.73875
104	12.98557	77.73875
105	12.98557	77.73370
106	12.98562	77.73350
107	12.98562	77.73345
108	12.98562	77.73355
109	12.98563	77.73339
110	12.98563	77.73361
111	12.98563	77.73875
112	12.98563	77.73368
113	12.98563	77.73334
114	12.98564	77.73305
115	12.98564	77.73300
116	12.98564	77.73295
117	12.98564	77.73290
118	12.98564	77.73329
119	12.98564	77.73323
120	12.98564	77.73318
121	12.98564	77.73312
122	12.98566	77.73283
123	12.98566	77.73278
124	12.98567	77.73273
125	12.98567	77.73266
126	12.98567	77.73261
127	12.98569	77.73256
128	12.98569	77.73875
129	12.98570	77.73250
130	12.98575	77.73875
131	12.98576	77.73246
132	12.98580	77.73240
133	12.98581	77.73875
134	12.98585	77.73235
135	12.98586	77.73875
136	12.98591	77.73231
137	12.98592	77.73875
138	12.98597	77.73875
139	12.98598	77.73228
140	12.98603	77.73874
141	12.98604	77.73225
142	12.98609	77.73873
143	12.98610	77.73222
144	12.98615	77.73873
145	12.98617	77.73219
146	12.98620	77.73873
147	12.98623	77.73215
148	12.98626	77.73873
149	12.98628	77.73211
150	12.98632	77.73872
151	12.98634	77.73205
152	12.98638	77.73872
153	12.98640	77.73199
154	12.98644	77.73876
155	12.98645	77.73195
156	12.98650	77.73881
157	12.98651	77.73190
158	12.98653	77.73886
159	12.98656	77.73893
160	12.98657	77.73186
161	12.98658	77.73899
162	12.98662	77.73905
163	12.98664	77.73184
164	12.98664	77.73910
165	12.98667	77.73916
166	12.98669	77.73183
167	12.98670	77.73922
168	12.98672	77.73928
169	12.98673	77.73933
170	12.98676	77.73939
171	12.98676	77.73182
172	12.98677	77.73944
173	12.98678	77.73950
174	12.98681	77.73955
175	12.98682	77.73961
176	12.98682	77.73181
177	12.98683	77.73966
178	12.98686	77.73971
179	12.98688	77.73977
180	12.98688	77.73181
181	12.98691	77.73983
182	12.98694	77.73989
183	12.98695	77.73180
184	12.98697	77.73995
185	12.98700	77.73179
186	12.98700	77.74001
187	12.98703	77.74006
188	12.98706	77.73179
189	12.98706	77.74012
190	12.98709	77.74017
191	12.98712	77.73178
192	12.98712	77.74023
193	12.98715	77.74028
194	12.98718	77.73178
195	12.98719	77.74034
196	12.98722	77.74039
197	12.98724	77.74044
198	12.98725	77.73178
199	12.98727	77.74050
200	12.98730	77.74056
201	12.98731	77.73178
202	12.98732	77.74061
203	12.98734	77.74067
204	12.98737	77.74073
205	12.98738	77.73177
206	12.98742	77.74078
207	12.98743	77.73176
208	12.98747	77.74073
209	12.98749	77.74067
210	12.98749	77.73175
211	12.98750	77.74061
212	12.98752	77.74056
213	12.98754	77.74049
214	12.98755	77.73174
215	12.98756	77.74043
216	12.98758	77.74037
217	12.98760	77.74031
218	12.98762	77.74025
219	12.98762	77.73173
220	12.98763	77.74019
221	12.98763	77.73976
222	12.98763	77.73970
223	12.98763	77.73964
224	12.98763	77.73959
225	12.98764	77.73983
226	12.98764	77.73953
227	12.98764	77.73936
228	12.98764	77.73930
229	12.98764	77.73925
230	12.98764	77.74013
231	12.98764	77.73947
232	12.98764	77.73941
233	12.98764	77.73918
234	12.98764	77.73912
235	12.98764	77.73906
236	12.98764	77.73900
237	12.98764	77.73895
238	12.98764	77.73889
239	12.98764	77.73882
240	12.98764	77.73876
241	12.98764	77.73871
242	12.98764	77.73988
243	12.98764	77.73864
244	12.98765	77.73741
245	12.98765	77.73735
246	12.98765	77.73728
247	12.98765	77.73723
248	12.98765	77.73717
249	12.98765	77.73711
250	12.98765	77.73705
251	12.98765	77.73700
252	12.98765	77.73695
253	12.98765	77.73688
254	12.98765	77.73682
255	12.98765	77.73677
256	12.98765	77.73671
257	12.98765	77.73665
258	12.98765	77.73859
259	12.98765	77.74007
260	12.98765	77.74000
261	12.98765	77.73994
262	12.98765	77.73854
263	12.98765	77.73746
264	12.98765	77.73848
265	12.98765	77.73751
266	12.98765	77.73659
267	12.98766	77.73757
268	12.98766	77.73842
269	12.98766	77.73837
270	12.98766	77.73831
271	12.98766	77.73653
272	12.98767	77.73825
273	12.98767	77.73606
274	12.98767	77.73600
275	12.98767	77.73762
276	12.98767	77.73612
277	12.98767	77.73819
278	12.98767	77.73595
279	12.98767	77.73173
280	12.98767	77.73814
281	12.98767	77.73808
282	12.98767	77.73803
283	12.98767	77.73796
284	12.98767	77.73768
285	12.98768	77.73589
286	12.98768	77.73791
287	12.98768	77.73584
288	12.98768	77.73774
289	12.98768	77.73647
290	12.98768	77.73617
291	12.98768	77.73578
292	12.98768	77.73785
293	12.98768	77.73779
294	12.98769	77.73640
295	12.98769	77.73622
296	12.98769	77.73572
297	12.98769	77.73634
298	12.98769	77.73629
299	12.98770	77.73565
300	12.98770	77.73560
301	12.98771	77.73554
302	12.98771	77.73549
303	12.98772	77.73544
