Rank	Latitude	Longitude
1	13.02740	77.69432
2	13.02740	77.69425
3	13.02740	77.69418
4	13.02740	77.69410
5	13.02741	77.69403
6	13.02741	77.69396
7	13.02741	77.69389
8	13.02742	77.69382
9	13.02743	77.69375
10	13.02744	77.69366
11	13.02745	77.69360
12	13.02746	77.69353
13	13.02746	77.69346
14	13.02747	77.69338
15	13.02748	77.69332
16	13.02749	77.69326
17	13.02750	77.69319
18	13.02751	77.69311
19	13.02751	77.69304
20	13.02752	77.69297
21	13.02753	77.69292
22	13.02753	77.69284
23	13.02753	77.69278
24	13.02755	77.69272
25	13.02755	77.69265
26	13.02756	77.69258
27	13.02757	77.69251
28	13.02758	77.69244
29	13.02759	77.69237
30	13.02762	77.69230
31	13.02763	77.69225
32	13.02764	77.69219
33	13.02765	77.69213
34	13.02765	77.69206
35	13.02766	77.69200
36	13.02767	77.69193
37	13.02768	77.69187
38	13.02768	77.69180
39	13.02769	77.69175
40	13.02770	77.69168
41	13.02771	77.69160
42	13.02767	77.69154
43	13.02761	77.69147
44	13.02757	77.69141
45	13.02751	77.69135
46	13.02746	77.69131
47	13.02740	77.69127
48	13.02735	77.69124
49	13.02729	77.69120
50	13.02723	77.69116
51	13.02715	77.69112
52	13.02709	77.69108
53	13.02703	77.69106
54	13.02697	77.69102
55	13.02689	77.69097
56	13.02683	77.69093
57	13.02675	77.69087
58	13.02670	77.69082
59	13.02665	77.69078
60	13.02658	77.69073
61	13.02652	77.69068
62	13.02647	77.69064
63	13.02642	77.69060
64	13.02635	77.69055
65	13.02630	77.69051
66	13.02624	77.69045
67	13.02617	77.69039
68	13.02613	77.69033
69	13.02608	77.69029
70	13.02600	77.69021
71	13.02596	77.69016
72	13.02590	77.69010
73	13.02585	77.69006
74	13.02580	77.69001
75	13.02574	77.68994
76	13.02567	77.68988
77	13.02561	77.68984
78	13.02554	77.68978
79	13.02548	77.68972
80	13.02542	77.68967
81	13.02536	77.68962
82	13.02530	77.68957
83	13.02524	77.68951
84	13.02519	77.68947
85	13.02514	77.68942
86	13.02507	77.68936
87	13.02501	77.68932
88	13.02494	77.68925
89	13.02487	77.68918
90	13.02483	77.68913
91	13.02478	77.68906
92	13.02473	77.68901
93	13.02466	77.68895
94	13.02460	77.68889
95	13.02456	77.68883
96	13.02449	77.68876
97	13.02445	77.68870
98	13.02439	77.68863
99	13.02433	77.68856
100	13.02429	77.68850
101	13.02423	77.68844
102	13.02417	77.68839
103	13.02410	77.68832
104	13.02405	77.68827
105	13.02400	77.68822
106	13.02394	77.68816
107	13.02389	77.68811
108	13.02384	77.68807
109	13.02378	77.68802
110	13.02373	77.68797
111	13.02366	77.68790
112	13.02361	77.68785
113	13.02355	77.68780
114	13.02349	77.68772
115	13.02346	77.68765
116	13.02343	77.68759
117	13.02340	77.68753
118	13.02335	77.68746
119	13.02332	77.68739
120	13.02328	77.68734
121	13.02322	77.68726
122	13.02317	77.68721
123	13.02313	77.68715
124	13.02309	77.68710
125	13.02305	77.68705
126	13.02301	77.68699
127	13.02295	77.68694
128	13.02291	77.68688
129	13.02286	77.68683
130	13.02285	77.68678
131	13.02286	77.68672
132	13.02288	77.68665
133	13.02289	77.68659
134	13.02292	77.68651
135	13.02293	77.68646
136	13.02294	77.68638
137	13.02294	77.68631
138	13.02295	77.68624
139	13.02295	77.68617
140	13.02295	77.68611
141	13.02295	77.68604
142	13.02295	77.68596
143	13.02295	77.68589
144	13.02296	77.68582
145	13.02297	77.68576
146	13.02297	77.68568
147	13.02297	77.68562
148	13.02297	77.68557
149	13.02297	77.68551
150	13.02297	77.68543
151	13.02297	77.68536
152	13.02297	77.68529
153	13.02297	77.68519
154	13.02297	77.68512
155	13.02297	77.68504
156	13.02297	77.68497
157	13.02297	77.68489
158	13.02298	77.68482
159	13.02298	77.68475
160	13.02299	77.68467
161	13.02299	77.68462
162	13.02299	77.68453
163	13.02299	77.68447
164	13.02299	77.68441
165	13.02299	77.68434
166	13.02299	77.68427
167	13.02299	77.68421
168	13.02299	77.68414
169	13.02299	77.68407
170	13.02299	77.68400
171	13.02299	77.68392
172	13.02298	77.68385
173	13.02297	77.68376
174	13.02297	77.68370
175	13.02296	77.68364
176	13.02295	77.68358
177	13.02295	77.68353
178	13.02295	77.68347
179	13.02294	77.68341
180	13.02293	77.68336
181	13.02292	77.68330
182	13.02291	77.68322
183	13.02291	77.68315
184	13.02290	77.68310
185	13.02289	77.68304
186	13.02288	77.68297
187	13.02287	77.68290
188	13.02287	77.68284
189	13.02286	77.68279
190	13.02286	77.68272
191	13.02286	77.68265
