Rank	Latitude	Longitude
1	13.01111	77.68064
2	13.01104	77.68064
3	13.01095	77.68064
4	13.01088	77.68065
5	13.01080	77.68066
6	13.01074	77.68067
7	13.01067	77.68069
8	13.01059	77.68069
9	13.01052	77.68070
10	13.01044	77.68071
11	13.01036	77.68071
12	13.01028	77.68071
13	13.01024	77.68065
14	13.01022	77.68059
15	13.01018	77.68054
16	13.01012	77.68045
17	13.01008	77.68040
18	13.01004	77.68034
19	13.01001	77.68028
20	13.00996	77.68022
21	13.00993	77.68017
22	13.00989	77.68011
23	13.00985	77.68004
24	13.00983	77.67998
25	13.00981	77.67992
26	13.00979	77.67986
27	13.00976	77.67981
28	13.00972	77.67973
29	13.00969	77.67968
30	13.00962	77.67966
31	13.00956	77.67962
32	13.00951	77.67959
33	13.00945	77.67954
34	13.00943	77.67948
35	13.00943	77.67942
36	13.00944	77.67937
37	13.00946	77.67931
38	13.00947	77.67925
39	13.00949	77.67919
40	13.00951	77.67914
41	13.00954	77.67908
42	13.00956	77.67902
43	13.00959	77.67897
44	13.00958	77.67891
45	13.00957	77.67885
46	13.00955	77.67879
47	13.00953	77.67872
48	13.00951	77.67866
49	13.00949	77.67860
50	13.00947	77.67854
51	13.00945	77.67848
52	13.00943	77.67843
53	13.00942	77.67838
54	13.00941	77.67832
55	13.00940	77.67827
56	13.00938	77.67820
57	13.00937	77.67814
58	13.00935	77.67808
59	13.00934	77.67803
60	13.00932	77.67796
61	13.00931	77.67790
62	13.00928	77.67784
63	13.00924	77.67779
64	13.00919	77.67773
65	13.00915	77.67768
66	13.00912	77.67762
67	13.00909	77.67757
68	13.00907	77.67750
69	13.00906	77.67745
70	13.00906	77.67738
71	13.00906	77.67732
72	13.00908	77.67727
73	13.00911	77.67721
74	13.00914	77.67714
75	13.00919	77.67709
76	13.00925	77.67706
77	13.00931	77.67704
78	13.00936	77.67702
79	13.00941	77.67701
80	13.00947	77.67700
81	13.00952	77.67698
82	13.00958	77.67697
83	13.00963	77.67696
84	13.00969	77.67695
85	13.00974	77.67694
86	13.00980	77.67693
87	13.00985	77.67691
88	13.00991	77.67690
89	13.00996	77.67689
90	13.01001	77.67687
91	13.01008	77.67685
92	13.01014	77.67684
93	13.01019	77.67683
94	13.01026	77.67683
95	13.01032	77.67683
96	13.01039	77.67683
97	13.01045	77.67682
98	13.01050	77.67682
99	13.01056	77.67681
100	13.01063	77.67680
101	13.01068	77.67679
102	13.01074	77.67680
103	13.01079	77.67680
104	13.01085	77.67679
105	13.01090	77.67675
106	13.01095	77.67672
107	13.01100	77.67667
108	13.01097	77.67661
109	13.01091	77.67661
110	13.01085	77.67660
111	13.01080	77.67658
112	13.01075	77.67657
113	13.01069	77.67655
114	13.01064	77.67654
115	13.01059	77.67653
116	13.01054	77.67652
117	13.01048	77.67652
118	13.01042	77.67651
119	13.01037	77.67650
120	13.01031	77.67648
121	13.01025	77.67648
122	13.01020	77.67646
123	13.01014	77.67645
124	13.01008	77.67643
125	13.01002	77.67642
126	13.00996	77.67641
127	13.00990	77.67640
128	13.00984	77.67638
129	13.00978	77.67636
130	13.00972	77.67634
131	13.00965	77.67632
132	13.00959	77.67630
133	13.00953	77.67628
134	13.00947	77.67626
135	13.00941	77.67624
136	13.00936	77.67622
137	13.00929	77.67619
138	13.00923	77.67616
139	13.00916	77.67614
140	13.00910	77.67612
141	13.00904	77.67611
142	13.00898	77.67609
143	13.00892	77.67607
144	13.00885	77.67607
145	13.00878	77.67607
146	13.00873	77.67608
147	13.00867	77.67609
148	13.00862	77.67609
149	13.00856	77.67609
150	13.00850	77.67608
151	13.00843	77.67606
152	13.00837	77.67603
153	13.00831	77.67600
154	13.00825	77.67597
155	13.00820	77.67592
156	13.00817	77.67587
157	13.00819	77.67581
158	13.00822	77.67575
159	13.00825	77.67570
160	13.00828	77.67564
161	13.00831	77.67559
162	13.00834	77.67553
163	13.00837	77.67547
164	13.00840	77.67541
165	13.00843	77.67536
166	13.00846	77.67530
167	13.00849	77.67525
168	13.00852	77.67519
169	13.00857	77.67513
170	13.00860	77.67507
171	13.00863	77.67500
172	13.00866	77.67494
173	13.00868	77.67488
174	13.00871	77.67483
175	13.00874	77.67477
176	13.00870	77.67472
177	13.00864	77.67468
178	13.00858	77.67465
179	13.00853	77.67463
180	13.00847	77.67460
181	13.00841	77.67458
182	13.00834	77.67456
183	13.00829	77.67455
184	13.00823	77.67453
185	13.00817	77.67450
186	13.00811	77.67448
187	13.00805	77.67445
188	13.00800	77.67444
189	13.00794	77.67444
190	13.00789	77.67444
191	13.00784	77.67443
192	13.00778	77.67443
193	13.00773	77.67444
194	13.00767	77.67445
195	13.00761	77.67446
196	13.00755	77.67449
197	13.00749	77.67452
198	13.00743	77.67450
199	13.00737	77.67447
200	13.00730	77.67444
201	13.00725	77.67441
202	13.00718	77.67439
203	13.00712	77.67436
204	13.00706	77.67433
205	13.00701	77.67430
206	13.00697	77.67435
207	13.00691	77.67442
208	13.00688	77.67447
209	13.00681	77.67452
210	13.00676	77.67456
211	13.00670	77.67458
212	13.00664	77.67461
213	13.00658	77.67464
214	13.00652	77.67467
215	13.00646	77.67470
216	13.00640	77.67473
217	13.00634	77.67475
218	13.00627	77.67478
219	13.00620	77.67481
220	13.00615	77.67483
221	13.00609	77.67486
222	13.00603	77.67488
223	13.00596	77.67491
224	13.00590	77.67494
225	13.00584	77.67496
226	13.00577	77.67498
227	13.00571	77.67499
228	13.00566	77.67500
229	13.00560	77.67502
230	13.00554	77.67503
231	13.00548	77.67505
232	13.00543	77.67507
233	13.00538	77.67513
234	13.00539	77.67519
235	13.00539	77.67525
236	13.00539	77.67531
237	13.00540	77.67537
238	13.00541	77.67543
239	13.00541	77.67548
240	13.00541	77.67554
241	13.00541	77.67561
242	13.00535	77.67562
243	13.00532	77.67567
244	13.00531	77.67574
245	13.00530	77.67581
246	13.00530	77.67587
247	13.00531	77.67592
248	13.00530	77.67599
249	13.00527	77.67605
250	13.00526	77.67611
251	13.00525	77.67617
252	13.00525	77.67624
253	13.00524	77.67630
254	13.00523	77.67635
255	13.00521	77.67641
256	13.00520	77.67647
257	13.00519	77.67652
258	13.00519	77.67659
259	13.00519	77.67664
260	13.00518	77.67670
261	13.00518	77.67675
262	13.00517	77.67682
263	13.00517	77.67687
264	13.00516	77.67692
265	13.00516	77.67698
266	13.00514	77.67705
267	13.00509	77.67708
268	13.00504	77.67708
269	13.00497	77.67708
270	13.00491	77.67708
271	13.00486	77.67709
272	13.00480	77.67709
273	13.00474	77.67709
274	13.00467	77.67709
275	13.00462	77.67710
276	13.00456	77.67711
277	13.00450	77.67712
278	13.00445	77.67712
