Rank	Latitude	Longitude
1	13.02898	77.71098
2	13.02893	77.71101
3	13.02887	77.71103
4	13.02881	77.71106
5	13.02875	77.71108
6	13.02869	77.71110
7	13.02863	77.71113
8	13.02857	77.71116
9	13.02851	77.71119
10	13.02846	77.71121
11	13.02840	77.71124
12	13.02834	77.71127
13	13.02829	77.71131
14	13.02824	77.71133
15	13.02817	77.71135
16	13.02812	77.71137
17	13.02807	77.71139
18	13.02802	77.71140
19	13.02797	77.71142
20	13.02791	77.71143
21	13.02785	77.71142
22	13.02779	77.71142
23	13.02775	77.71148
24	13.02772	77.71155
25	13.02766	77.71157
26	13.02759	77.71157
27	13.02753	77.71158
28	13.02747	77.71159
29	13.02742	77.71160
30	13.02736	77.71161
31	13.02730	77.71162
32	13.02724	77.71162
33	13.02718	77.71163
34	13.02711	77.71163
35	13.02705	77.71163
36	13.02698	77.71163
37	13.02691	77.71163
38	13.02686	77.71164
39	13.02681	77.71166
40	13.02676	77.71167
41	13.02669	77.71168
42	13.02662	77.71168
43	13.02656	77.71168
44	13.02649	77.71168
45	13.02643	77.71169
46	13.02637	77.71171
47	13.02631	77.71172
48	13.02625	77.71173
49	13.02619	77.71174
50	13.02613	77.71174
51	13.02607	77.71174
52	13.02600	77.71174
53	13.02595	77.71173
54	13.02588	77.71175
55	13.02581	77.71177
56	13.02576	77.71178
57	13.02570	77.71181
58	13.02565	77.71181
59	13.02557	77.71182
60	13.02552	77.71183
61	13.02545	77.71184
62	13.02540	77.71185
63	13.02532	77.71186
64	13.02527	77.71187
65	13.02521	77.71188
66	13.02514	77.71190
67	13.02509	77.71191
68	13.02503	77.71191
69	13.02496	77.71194
70	13.02489	77.71194
71	13.02483	77.71194
72	13.02477	77.71196
73	13.02471	77.71197
74	13.02466	77.71197
75	13.02460	77.71199
76	13.02455	77.71200
77	13.02449	77.71200
78	13.02443	77.71198
79	13.02437	77.71198
80	13.02431	77.71200
81	13.02426	77.71204
82	13.02420	77.71208
83	13.02415	77.71212
84	13.02409	77.71216
85	13.02404	77.71220
86	13.02398	77.71225
87	13.02393	77.71229
88	13.02388	77.71234
89	13.02382	77.71239
90	13.02378	77.71245
91	13.02373	77.71250
92	13.02367	77.71255
93	13.02362	77.71260
94	13.02357	77.71265
95	13.02350	77.71270
96	13.02345	77.71274
97	13.02339	77.71279
98	13.02334	77.71282
99	13.02328	77.71284
100	13.02322	77.71287
101	13.02316	77.71290
102	13.02311	77.71292
103	13.02305	77.71295
104	13.02299	77.71298
105	13.02292	77.71301
106	13.02287	77.71304
107	13.02281	77.71306
108	13.02276	77.71309
109	13.02270	77.71312
110	13.02264	77.71315
111	13.02258	77.71319
