Rank	Latitude	Longitude
1	13.03701	77.72278
2	13.03701	77.72284
3	13.03701	77.72290
4	13.03701	77.72296
5	13.03700	77.72302
6	13.03699	77.72308
7	13.03699	77.72313
8	13.03697	77.72319
9	13.03694	77.72325
10	13.03692	77.72331
11	13.03689	77.72336
12	13.03686	77.72342
13	13.03683	77.72347
14	13.03681	77.72353
15	13.03676	77.72358
16	13.03670	77.72362
17	13.03664	77.72366
18	13.03658	77.72369
19	13.03652	77.72373
20	13.03646	77.72376
21	13.03640	77.72381
22	13.03635	77.72384
23	13.03629	77.72387
24	13.03624	77.72390
25	13.03618	77.72392
26	13.03612	77.72394
27	13.03607	77.72397
28	13.03602	77.72400
29	13.03596	77.72404
30	13.03591	77.72408
31	13.03585	77.72411
32	13.03580	77.72414
33	13.03574	77.72417
34	13.03569	77.72419
35	13.03563	77.72421
36	13.03558	77.72423
37	13.03552	77.72426
38	13.03547	77.72429
39	13.03541	77.72432
40	13.03535	77.72435
41	13.03529	77.72437
42	13.03523	77.72440
43	13.03516	77.72443
44	13.03510	77.72446
45	13.03505	77.72449
46	13.03499	77.72450
47	13.03493	77.72452
48	13.03488	77.72454
49	13.03481	77.72456
50	13.03475	77.72458
51	13.03470	77.72460
52	13.03464	77.72462
53	13.03459	77.72464
54	13.03453	77.72466
55	13.03446	77.72470
56	13.03440	77.72473
57	13.03435	77.72475
58	13.03430	77.72478
59	13.03424	77.72481
60	13.03418	77.72484
61	13.03413	77.72486
62	13.03407	77.72489
63	13.03400	77.72491
64	13.03395	77.72493
65	13.03389	77.72497
66	13.03383	77.72501
67	13.03378	77.72505
68	13.03373	77.72509
69	13.03366	77.72514
70	13.03360	77.72517
71	13.03355	77.72520
72	13.03349	77.72523
73	13.03343	77.72526
74	13.03337	77.72529
75	13.03332	77.72530
76	13.03327	77.72530
77	13.03321	77.72531
78	13.03316	77.72531
79	13.03311	77.72531
80	13.03303	77.72530
81	13.03296	77.72530
82	13.03290	77.72530
83	13.03283	77.72530
84	13.03278	77.72530
85	13.03272	77.72529
86	13.03267	77.72528
87	13.03260	77.72527
88	13.03253	77.72526
89	13.03247	77.72526
90	13.03241	77.72525
91	13.03235	77.72524
92	13.03228	77.72524
93	13.03222	77.72523
94	13.03216	77.72522
95	13.03210	77.72521
96	13.03205	77.72520
97	13.03199	77.72520
98	13.03193	77.72519
99	13.03188	77.72518
100	13.03181	77.72517
101	13.03176	77.72518
102	13.03169	77.72518
103	13.03163	77.72518
104	13.03158	77.72518
105	13.03152	77.72518
106	13.03145	77.72518
107	13.03139	77.72518
108	13.03132	77.72519
109	13.03127	77.72520
110	13.03120	77.72520
111	13.03113	77.72520
112	13.03107	77.72520
113	13.03101	77.72520
114	13.03096	77.72521
115	13.03089	77.72521
116	13.03083	77.72522
117	13.03078	77.72522
118	13.03071	77.72522
119	13.03066	77.72522
120	13.03059	77.72522
121	13.03054	77.72522
122	13.03048	77.72521
123	13.03042	77.72521
124	13.03036	77.72520
125	13.03030	77.72520
126	13.03025	77.72521
127	13.03019	77.72520
128	13.03013	77.72520
129	13.03007	77.72519
130	13.03000	77.72518
131	13.02995	77.72518
132	13.02989	77.72517
133	13.02983	77.72517
134	13.02977	77.72516
135	13.02971	77.72516
136	13.02965	77.72516
137	13.02959	77.72515
138	13.02954	77.72514
139	13.02947	77.72514
140	13.02941	77.72513
141	13.02935	77.72513
142	13.02929	77.72514
143	13.02923	77.72514
144	13.02917	77.72516
145	13.02911	77.72516
146	13.02906	77.72516
147	13.02901	77.72516
148	13.02894	77.72516
149	13.02888	77.72515
150	13.02882	77.72513
151	13.02877	77.72511
152	13.02871	77.72509
153	13.02866	77.72508
154	13.02859	77.72506
155	13.02853	77.72504
156	13.02847	77.72503
157	13.02841	77.72503
158	13.02835	77.72502
159	13.02828	77.72501
160	13.02822	77.72501
161	13.02817	77.72501
162	13.02812	77.72502
163	13.02806	77.72503
164	13.02801	77.72503
165	13.02796	77.72504
166	13.02790	77.72505
167	13.02784	77.72507
168	13.02778	77.72507
169	13.02772	77.72508
170	13.02766	77.72509
171	13.02759	77.72510
172	13.02753	77.72511
173	13.02747	77.72513
174	13.02741	77.72514
175	13.02735	77.72515
176	13.02730	77.72516
177	13.02724	77.72517
178	13.02717	77.72518
179	13.02712	77.72520
180	13.02706	77.72521
181	13.02701	77.72522
182	13.02695	77.72524
183	13.02690	77.72525
184	13.02685	77.72527
185	13.02679	77.72528
186	13.02672	77.72529
187	13.02667	77.72530
188	13.02661	77.72531
189	13.02655	77.72531
190	13.02650	77.72532
191	13.02644	77.72534
192	13.02638	77.72535
193	13.02632	77.72535
194	13.02627	77.72535
195	13.02622	77.72537
196	13.02615	77.72542
197	13.02609	77.72545
