Rank	Latitude	Longitude
1	13.00842	77.69574
2	13.00839	77.69579
3	13.00832	77.69584
4	13.00830	77.69590
5	13.00827	77.69596
6	13.00825	77.69603
7	13.00824	77.69608
8	13.00822	77.69614
9	13.00820	77.69619
10	13.00819	77.69625
11	13.00818	77.69631
12	13.00816	77.69636
13	13.00815	77.69642
14	13.00813	77.69648
15	13.00811	77.69654
16	13.00810	77.69659
17	13.00807	77.69665
18	13.00803	77.69671
19	13.00800	77.69677
20	13.00796	77.69682
21	13.00792	77.69688
22	13.00789	77.69693
23	13.00786	77.69698
24	13.00782	77.69704
25	13.00778	77.69710
26	13.00774	77.69716
27	13.00770	77.69721
28	13.00767	77.69726
29	13.00764	77.69731
30	13.00761	77.69736
31	13.00757	77.69742
32	13.00754	77.69748
33	13.00750	77.69754
34	13.00746	77.69761
35	13.00743	77.69766
36	13.00740	77.69771
37	13.00736	77.69777
38	13.00733	77.69782
39	13.00730	77.69788
40	13.00727	77.69795
41	13.00724	77.69801
42	13.00721	77.69807
43	13.00719	77.69813
44	13.00716	77.69819
45	13.00713	77.69824
46	13.00710	77.69830
47	13.00706	77.69836
48	13.00703	77.69842
49	13.00700	77.69847
50	13.00696	77.69853
51	13.00692	77.69859
52	13.00688	77.69864
53	13.00685	77.69869
54	13.00681	77.69875
55	13.00677	77.69880
56	13.00675	77.69886
57	13.00672	77.69891
58	13.00670	77.69896
59	13.00666	77.69902
60	13.00664	77.69908
61	13.00661	77.69913
62	13.00660	77.69919
63	13.00657	77.69925
64	13.00655	77.69931
65	13.00654	77.69937
66	13.00652	77.69942
67	13.00650	77.69948
68	13.00648	77.69954
69	13.00646	77.69959
70	13.00644	77.69965
71	13.00643	77.69970
72	13.00641	77.69976
73	13.00639	77.69983
74	13.00637	77.69989
75	13.00634	77.69995
76	13.00631	77.70001
77	13.00630	77.70006
78	13.00628	77.70012
79	13.00622	77.70010
80	13.00616	77.70008
81	13.00610	77.70006
82	13.00604	77.70005
83	13.00598	77.70003
84	13.00592	77.70001
85	13.00587	77.69999
86	13.00580	77.69996
87	13.00574	77.69993
88	13.00569	77.69992
89	13.00563	77.69991
90	13.00557	77.69991
91	13.00552	77.69992
92	13.00546	77.69995
93	13.00540	77.69996
94	13.00534	77.69997
95	13.00528	77.69998
96	13.00523	77.69998
97	13.00517	77.69998
98	13.00511	77.69998
99	13.00506	77.69997
100	13.00500	77.69997
101	13.00494	77.69996
102	13.00488	77.69996
103	13.00482	77.69996
104	13.00477	77.69996
105	13.00470	77.69995
106	13.00465	77.69994
107	13.00459	77.69993
108	13.00453	77.69992
109	13.00448	77.69991
110	13.00441	77.69990
111	13.00436	77.69990
112	13.00430	77.69989
113	13.00424	77.69988
114	13.00418	77.69988
115	13.00413	77.69987
116	13.00407	77.69986
117	13.00402	77.69985
118	13.00395	77.69984
119	13.00389	77.69984
120	13.00383	77.69983
121	13.00377	77.69981
122	13.00370	77.69979
123	13.00364	77.69977
124	13.00358	77.69976
125	13.00352	77.69974
126	13.00346	77.69973
127	13.00340	77.69973
128	13.00334	77.69972
